,date,au_price,au_open,au_high,au_low,au_change_percent
1157,2015-06-12,"1,182.30","1,186.11","1,188.21","1,175.66",-0.35%
1158,2015-06-11,"1,186.48","1,176.25","1,192.60","1,174.85",0.83%
1159,2015-06-10,"1,176.70","1,173.86","1,183.40","1,172.25",0.23%
1160,2015-06-09,"1,173.95","1,168.95","1,178.10","1,168.70",0.17%
1161,2015-06-08,"1,172.00","1,176.49","1,179.35","1,162.35",-0.36%
1162,2015-06-05,"1,176.26","1,185.30","1,186.41","1,172.55",-0.78%
1163,2015-06-04,"1,185.50","1,193.11","1,195.81","1,179.43",-0.66%
1164,2015-06-03,"1,193.38","1,188.91","1,196.12","1,185.44",0.36%
1165,2015-06-02,"1,189.15","1,190.50","1,204.81","1,184.10",-0.11%
1166,2015-06-01,"1,190.50","1,187.90","1,193.81","1,186.33",0.17%
1167,2015-05-29,"1,188.45","1,187.46","1,192.75","1,180.55",0.03%
1168,2015-05-28,"1,188.15","1,186.69","1,191.55","1,183.76",0.07%
1169,2015-05-27,"1,187.30","1,206.55","1,208.00","1,185.35",-1.65%
1170,2015-05-26,"1,207.17","1,204.75","1,208.97","1,202.55",0.07%
1171,2015-05-25,"1,206.38","1,206.25","1,215.20","1,201.20",-0.01%
1172,2015-05-22,"1,206.45","1,209.61","1,212.95","1,201.41",-0.23%
1173,2015-05-21,"1,209.28","1,207.90","1,213.47","1,202.91",0.15%
1174,2015-05-20,"1,207.51","1,225.10","1,225.57","1,205.39",-1.49%
1175,2015-05-19,"1,225.74","1,222.80","1,232.70","1,221.00",0.15%
1176,2015-05-18,"1,223.85","1,221.01","1,226.75","1,210.80",0.19%
1177,2015-05-15,"1,221.52","1,215.31","1,227.44","1,211.65",0.48%
1178,2015-05-14,"1,215.73","1,192.95","1,219.30","1,190.80",1.86%
1179,2015-05-13,"1,193.50","1,183.40","1,197.00","1,180.65",0.79%
1180,2015-05-12,"1,184.20","1,188.45","1,192.10","1,179.00",-0.33%
1181,2015-05-11,"1,188.15","1,184.16","1,193.61","1,181.63",0.28%
1182,2015-05-08,"1,184.80","1,191.30","1,193.30","1,178.66",-0.59%
1183,2015-05-07,"1,191.80","1,192.69","1,197.90","1,187.80",-0.13%
1184,2015-05-06,"1,193.33","1,188.06","1,200.10","1,185.40",0.43%
1185,2015-05-05,"1,188.25","1,178.50","1,193.45","1,177.43",0.83%
1186,2015-05-04,"1,178.50","1,184.16","1,185.26","1,170.20",-0.50%
1187,2015-05-01,"1,184.37","1,204.66","1,207.52","1,176.80",-1.70%
1188,2015-04-30,"1,204.80","1,211.60","1,213.70","1,201.13",-0.60%
1189,2015-04-29,"1,212.10","1,202.25","1,215.50","1,198.80",0.84%
1190,2015-04-28,"1,202.00","1,179.31","1,207.46","1,178.30",1.92%
1191,2015-04-27,"1,179.38","1,193.65","1,196.51","1,174.73",-1.22%
1192,2015-04-24,"1,194.00","1,187.16","1,198.40","1,183.65",0.56%
1193,2015-04-23,"1,187.30","1,202.35","1,205.20","1,185.33",-1.28%
1194,2015-04-22,"1,202.68","1,196.41","1,204.40","1,192.90",0.52%
1195,2015-04-21,"1,196.50","1,204.50","1,209.40","1,191.14",-0.68%
1196,2015-04-20,"1,204.65","1,198.10","1,208.10","1,196.78",0.58%
1197,2015-04-17,"1,197.65","1,201.95","1,209.60","1,194.56",-0.37%
1198,2015-04-16,"1,202.05","1,192.46","1,205.35","1,188.63",0.71%
1199,2015-04-15,"1,193.58","1,198.70","1,202.10","1,183.68",-0.44%
1200,2015-04-14,"1,198.85","1,206.80","1,209.83","1,196.23",-0.76%
1201,2015-04-13,"1,208.05","1,193.90","1,211.10","1,192.90",1.09%
1202,2015-04-10,"1,195.01","1,202.51","1,203.76","1,192.30",-0.65%
1203,2015-04-09,"1,202.80","1,208.45","1,212.60","1,197.45",-0.48%
1204,2015-04-08,"1,208.60","1,214.29","1,215.91","1,207.05",-0.50%
1205,2015-04-07,"1,214.70","1,215.23","1,224.50","1,213.45",0.31%
1206,2015-04-06,"1,210.90","1,200.99","1,212.74","1,199.36",0.69%
1207,2015-04-03,"1,202.59","1,204.20","1,208.15","1,195.00",-0.13%
1208,2015-04-02,"1,204.10","1,183.25","1,209.00","1,180.25",1.74%
1209,2015-04-01,"1,183.50","1,185.00","1,191.20","1,178.05",-0.23%
1210,2015-03-31,"1,186.20","1,198.35","1,199.50","1,182.05",-1.09%
1211,2015-03-30,"1,199.30","1,203.75","1,206.70","1,192.41",-0.42%
1212,2015-03-27,"1,204.38","1,195.15","1,219.80","1,194.10",0.75%
1213,2015-03-26,"1,195.45","1,192.70","1,199.90","1,186.45",0.19%
1214,2015-03-25,"1,193.13","1,188.95","1,195.70","1,184.85",0.32%
1215,2015-03-24,"1,189.30","1,185.36","1,192.10","1,178.85",0.56%
1216,2015-03-23,"1,182.68","1,170.20","1,188.30","1,168.05",0.97%
1217,2015-03-20,"1,171.30","1,166.85","1,177.86","1,159.66",0.35%
1218,2015-03-19,"1,167.25","1,148.75","1,174.61","1,145.40",1.56%
1219,2015-03-18,"1,149.30","1,153.80","1,159.85","1,142.86",-0.46%
1220,2015-03-17,"1,154.59","1,157.75","1,164.46","1,149.85",-0.42%
1221,2015-03-16,"1,159.48","1,153.15","1,162.55","1,151.05",0.50%
1222,2015-03-13,"1,153.70","1,154.20","1,166.70","1,148.50",-0.10%
1223,2015-03-12,"1,154.80","1,161.40","1,165.95","1,147.10",-0.61%
1224,2015-03-11,"1,161.93","1,166.35","1,171.35","1,155.60",-0.46%
1225,2015-03-10,"1,167.30","1,167.90","1,176.15","1,165.40",0.01%
1226,2015-03-09,"1,167.21","1,198.16","1,201.29","1,163.45",-2.62%
1227,2015-03-06,"1,198.60","1,199.35","1,209.70","1,196.00",-0.10%
1228,2015-03-05,"1,199.85","1,203.35","1,209.40","1,197.85",-0.33%
1229,2015-03-04,"1,203.80","1,206.70","1,215.09","1,194.90",-0.27%
1230,2015-03-03,"1,207.10","1,213.40","1,223.60","1,204.20",-0.50%
1231,2015-03-02,"1,213.15","1,208.85","1,219.90","1,204.05",0.34%
1232,2015-02-27,"1,209.05","1,204.41","1,220.75","1,203.20",0.35%
1233,2015-02-26,"1,204.80","1,199.15","1,212.20","1,199.10",0.41%
1234,2015-02-25,"1,199.89","1,201.33","1,204.60","1,190.91",-0.17%
1235,2015-02-24,"1,201.92","1,201.39","1,210.70","1,191.01",-0.04%
1236,2015-02-23,"1,202.39","1,206.92","1,215.39","1,197.95",-0.42%
1237,2015-02-20,"1,207.45","1,212.30","1,223.50","1,205.00",-0.46%
1238,2015-02-19,"1,212.99","1,209.02","1,212.99","1,197.56",0.30%
1239,2015-02-18,"1,209.40","1,230.65","1,234.15","1,203.30",-1.79%
1240,2015-02-17,"1,231.47","1,228.20","1,236.88","1,227.63",0.14%
1241,2015-02-16,"1,229.70","1,221.88","1,235.70","1,220.51",0.59%
1242,2015-02-13,"1,222.50","1,218.43","1,232.90","1,216.45",0.27%
1243,2015-02-12,"1,219.16","1,233.25","1,239.30","1,217.76",-1.20%
1244,2015-02-11,"1,234.00","1,239.35","1,246.00","1,230.50",-0.46%
1245,2015-02-10,"1,239.68","1,234.43","1,244.35","1,233.79",0.48%
1246,2015-02-09,"1,233.72","1,264.32","1,269.30","1,228.25",-2.45%
1247,2015-02-06,"1,264.70","1,269.60","1,274.00","1,256.22",-0.42%
1248,2015-02-05,"1,270.05","1,259.85","1,272.20","1,256.45",0.78%
1249,2015-02-04,"1,260.20","1,274.91","1,285.59","1,255.21",-1.19%
1250,2015-02-03,"1,275.44","1,281.06","1,283.85","1,266.18",-0.63%
1251,2015-02-02,"1,283.55","1,256.86","1,285.35","1,256.50",2.09%
1252,2015-01-30,"1,257.25","1,284.60","1,286.25","1,251.86",-2.17%
1253,2015-01-29,"1,285.10","1,291.60","1,294.55","1,280.75",-0.56%
1254,2015-01-28,"1,292.35","1,280.81","1,297.77","1,272.31",0.87%
1255,2015-01-27,"1,281.24","1,293.29","1,299.14","1,275.75",-1.03%
1256,2015-01-26,"1,294.55","1,300.98","1,302.90","1,284.26",-0.55%
1257,2015-01-23,"1,301.73","1,292.70","1,306.70","1,279.05",0.64%
1258,2015-01-22,"1,293.44","1,293.26","1,305.38","1,285.20",-0.04%
1259,2015-01-21,"1,293.94","1,276.15","1,297.23","1,273.70",1.32%
1260,2015-01-20,"1,277.08","1,279.30","1,281.63","1,271.85",-0.25%
1261,2015-01-19,"1,280.30","1,261.56","1,281.99","1,254.88",1.48%
1262,2015-01-16,"1,261.64","1,229.46","1,266.59","1,225.70",2.58%
1263,2015-01-15,"1,229.95","1,230.36","1,244.40","1,224.55",-0.08%
1264,2015-01-14,"1,230.88","1,233.10","1,244.12","1,227.01",-0.22%
1265,2015-01-13,"1,233.64","1,222.62","1,236.29","1,218.17",0.84%
1266,2015-01-12,"1,223.40","1,208.90","1,224.00","1,206.70",1.19%
1267,2015-01-09,"1,208.98","1,210.16","1,216.65","1,204.32",-0.15%
1268,2015-01-08,"1,210.80","1,218.80","1,219.85","1,208.45",-0.69%
1269,2015-01-07,"1,219.20","1,204.10","1,223.15","1,201.10",1.22%
1270,2015-01-06,"1,204.45","1,188.59","1,208.15","1,182.70",1.28%
1271,2015-01-05,"1,189.18","1,182.20","1,194.60","1,168.25",0.61%
1272,2015-01-02,"1,181.97","1,183.40","1,184.53","1,181.60",-0.17%
1273,2015-01-01,"1,183.95","1,199.86","1,204.00","1,179.15",-1.36%
1274,2014-12-31,"1,200.24","1,182.98","1,210.29","1,180.50",1.45%
1275,2014-12-30,"1,183.10","1,195.33","1,197.79","1,178.96",-1.03%
1276,2014-12-29,"1,195.40","1,172.70","1,199.75","1,172.70",1.84%
1277,2014-12-26,"1,173.80","1,175.20","1,181.80","1,172.55",-0.16%
1278,2014-12-24,"1,175.68","1,174.55","1,185.49","1,172.10",0.05%
1279,2014-12-23,"1,175.05","1,194.94","1,202.18","1,170.17",-1.75%
